lat,lng,depth
-27.482108,153.030294,-2.77
-27.481889,153.031237,-1.23
-27.481541,153.031947,-2.00
-27.479404,153.030241,-1.80
-27.479091,153.030626,-2.24
-27.480765,153.032655,-2.61
-27.479643,153.033204,-2.36
-27.478931,153.030992,-1.98
-27.478346,153.031250,-2.09
-27.478065,153.031274,-2.11
-27.478011,153.031287,-2.63
-27.478054,153.031545,-2.12
-27.477609,153.031529,-2.33
-27.477386,153.031529,-1.93
-27.477152,153.031599,-1.82
-27.477146,153.031773,-1.22
-27.476933,153.031793,-1.47
-27.476386,153.031759,-1.20
-27.475382,153.031592,-2.08
-27.475136,153.031551,-1.30
-27.475018,153.031505,-1.36
-27.478929,153.033526,-2.17
-27.477239,153.034163,-1.67
-27.477157,153.034290,-1.79
-27.476934,153.034229,-1.63
-27.476033,153.037919,-2.54
-27.475996,153.037920,-1.46
-27.475125,153.040184,-1.10
-27.474477,153.039657,-2.05
-27.399899,153.141881,-2.61
-27.399903,153.141737,-2.57
-27.399673,153.141910,-2.20
-27.399674,153.141730,-2.19
-27.401926,153.145894,-1.73
-27.401704,153.145862,-2.76
-27.401694,153.146058,-1.13
-27.401708,153.146057,-1.01
-27.399675,153.142575,-2.54
-27.399676,153.142493,-2.36
-27.399677,153.142236,-2.23
-27.399450,153.142577,-0.97
-27.399451,153.142474,-0.97
-27.399450,153.142231,-1.17
-27.399671,153.142994,-2.63
-27.399450,153.143233,-2.05
-27.399446,153.142994,-1.10
-27.399450,153.143504,-2.66
-27.401479,153.145890,-2.74
-27.401478,153.146248,-2.50
-27.401388,153.146292,-1.02
-27.401247,153.146381,-1.76
-27.399222,153.143752,-2.79
-27.399223,153.143499,-1.47
-27.398988,153.143958,-1.40
-27.398998,153.143760,-2.09
-27.398992,153.143504,-1.00
-27.398164,153.144624,-1.22
-27.398323,153.144706,-2.76
-27.398094,153.145023,-2.43
-27.398078,153.144763,-1.05
-27.397757,153.144814,-1.69
-27.397803,153.144770,-0.89
-27.400515,153.146545,-1.98
-27.400798,153.146547,-1.44
-27.398760,153.144243,-0.88
-27.398747,153.144267,-1.25
-27.398891,153.144014,-1.58
-27.398198,153.144502,-0.92
-27.397563,153.145060,-1.84
-27.396985,153.145024,-1.72
-27.396964,153.145143,-1.57
-27.397193,153.145059,-1.73
-27.396989,153.145277,-2.04
-27.396965,153.145352,-1.82
-27.396964,153.145595,-2.16
-27.397193,153.145305,-2.12
-27.396739,153.145493,-1.70
-27.396739,153.145232,-1.15
-27.396510,153.145302,-1.57
-27.396509,153.145266,-0.91
-27.396380,153.145538,-1.80
-27.396737,153.145885,-2.32
-27.396739,153.145767,-1.85
-27.396512,153.145883,-2.18
-27.396064,153.145794,-1.97
-27.395781,153.146052,-1.51
-27.395838,153.146038,-2.01
-27.395780,153.146285,-1.95
-27.395839,153.146289,-2.72
-27.396067,153.146032,-2.69
-27.395190,153.146538,-1.48
-27.395386,153.146287,-1.43
-27.395605,153.146538,-2.32
-27.393258,153.141607,-0.90
-27.401701,153.147951,-1.38
-27.401694,153.148064,-1.60
-27.401705,153.148074,-1.38
-27.401933,153.147852,-1.40
-27.401929,153.148063,-0.93
-27.399326,153.147049,-1.17
-27.399448,153.147050,-1.25
-27.399688,153.146811,-2.24
-27.398738,153.147048,-1.44
-27.398773,153.147049,-1.09
-27.398996,153.147048,-1.27
-27.398145,153.147299,-1.13
-27.398321,153.147302,-1.04
-27.394750,153.148398,-2.38
-27.394744,153.148300,-2.38
-27.394478,153.148390,-2.32
-27.394252,153.148401,-2.29
-27.394028,153.148402,-2.64
-27.393802,153.148025,-2.52
-27.393577,153.148301,-2.81
-27.393576,153.148037,-2.31
-27.393351,153.148277,-2.50
-27.393340,153.148049,-1.11
-27.395608,153.149067,-1.01
-27.395844,153.149077,-0.90
-27.395847,153.149063,-1.10
-27.395099,153.148668,-2.36
-27.395410,153.149574,-1.03
-27.394411,153.148563,-2.32
-27.394482,153.148565,-2.36
-27.394415,153.148816,-2.36
-27.394483,153.148812,-2.23
-27.394410,153.149065,-2.32
-27.394479,153.149068,-2.22
-27.394866,153.149068,-2.38
-27.394936,153.148558,-2.29
-27.394477,153.149715,-2.03
-27.394479,153.149560,-2.03
-27.394414,153.150330,-0.83
-27.394478,153.150329,-1.64
-27.394704,153.150333,-1.11
-27.394939,153.150079,-0.96
-27.395156,153.149829,-0.89
-27.394250,153.149052,-2.24
-27.394215,153.149066,-2.04
-27.394253,153.148754,-2.59
-27.394027,153.149061,-2.17
-27.394025,153.149066,-2.10
-27.394027,153.148806,-2.28
-27.394252,153.149731,-2.04
-27.394251,153.149568,-1.93
-27.393354,153.148560,-2.46
