lat,lng,depth
-27.482267,153.030242,-5.52
-27.482188,153.030521,-5.54
-27.482128,153.030994,-5.23
-27.482169,153.031196,-5.36
-27.482137,153.031295,-5.72
-27.481929,153.031285,-4.79
-27.481915,153.031250,-4.87
-27.481922,153.030999,-4.75
-27.482110,153.030495,-3.52
-27.482108,153.030294,-2.77
-27.482043,153.031508,-4.74
-27.481907,153.031763,-5.83
-27.481899,153.031765,-4.65
-27.481901,153.031511,-4.54
-27.481900,153.031276,-4.01
-27.481889,153.031237,-1.23
-27.481541,153.031947,-2.00
-27.479404,153.030241,-1.80
-27.479178,153.030241,-3.38
-27.479091,153.030626,-2.24
-27.480324,153.033271,-4.79
-27.480544,153.032917,-4.66
-27.480747,153.033025,-5.07
-27.480745,153.032773,-4.70
-27.480765,153.032655,-2.61
-27.480989,153.032774,-4.76
-27.480871,153.032612,-4.68
-27.481004,153.032620,-4.76
-27.481021,153.032507,-4.45
-27.481298,153.032457,-4.56
-27.481296,153.032253,-4.54
-27.481451,153.032305,-5.04
-27.481451,153.032263,-4.64
-27.481681,153.032090,-4.92
-27.480326,153.033279,-5.26
-27.480127,153.033279,-4.92
-27.480124,153.033277,-4.71
-27.480052,153.033282,-4.90
-27.479870,153.033278,-4.61
-27.479645,153.033654,-5.07
-27.479857,153.033161,-4.34
-27.479522,153.033714,-4.89
-27.479636,153.033278,-4.62
-27.479643,153.033204,-2.36
-27.479194,153.033778,-4.96
-27.479197,153.033528,-3.88
-27.479193,153.033867,-5.18
-27.479082,153.033907,-5.18
-27.479082,153.033783,-4.62
-27.479098,153.033530,-4.00
-27.476485,153.030241,-5.41
-27.475384,153.030364,-3.92
-27.475354,153.030242,-4.13
-27.478954,153.030624,-4.26
-27.478931,153.030992,-1.98
-27.478529,153.030983,-3.36
-27.478346,153.031250,-2.09
-27.478171,153.031216,-4.83
-27.478065,153.031274,-2.11
-27.478011,153.031287,-2.63
-27.478054,153.031545,-2.12
-27.477609,153.031529,-2.33
-27.477561,153.031489,-6.06
-27.477386,153.031529,-1.93
-27.477152,153.031599,-1.82
-27.477146,153.031773,-1.22
-27.476931,153.031650,-4.91
-27.476933,153.031793,-1.47
-27.476937,153.031205,-6.31
-27.476799,153.031238,-6.03
-27.476595,153.031219,-6.22
-27.476675,153.031690,-4.96
-27.476691,153.031760,-3.00
-27.476267,153.031699,-4.88
-27.476386,153.031759,-1.20
-27.476504,153.030997,-6.28
-27.476404,153.030749,-5.90
-27.476485,153.031004,-6.15
-27.476434,153.030569,-5.87
-27.476036,153.031145,-5.94
-27.476258,153.030747,-5.60
-27.476259,153.030498,-5.12
-27.476252,153.030245,-4.71
-27.476037,153.031697,-3.34
-27.475917,153.031673,-4.22
-27.475979,153.031151,-5.85
-27.475974,153.030994,-5.48
-27.476033,153.030494,-4.77
-27.476024,153.030255,-4.30
-27.475583,153.031614,-3.52
-27.475594,153.031113,-6.03
-27.475583,153.030995,-5.23
-27.475590,153.030618,-4.18
-27.475702,153.030242,-3.86
-27.475582,153.031505,-5.77
-27.475382,153.031592,-2.08
-27.475395,153.031451,-5.22
-27.475385,153.031074,-5.94
-27.475384,153.030998,-5.20
-27.475390,153.030587,-4.23
-27.475136,153.031551,-1.30
-27.475355,153.031018,-6.02
-27.475356,153.030748,-4.99
-27.475356,153.030499,-4.42
-27.475133,153.031504,-3.90
-27.474907,153.031484,-4.05
-27.475129,153.031008,-6.01
-27.475129,153.030746,-5.07
