lat,lng,depth
-26.637850,153.023360,-0.52
-26.638301,153.024867,-0.76
-26.620694,153.025365,-0.98
-26.637849,153.028132,-0.62
-26.639203,153.028886,-0.45
-26.638526,153.028634,-0.88
-26.636946,153.029136,-0.71
-26.396757,153.064167,1.39
-26.395177,153.063916,1.12
-26.394951,153.064417,1.19
-26.341452,153.064387,0.77
-26.339872,153.064387,1.12
-26.338743,153.064386,1.19
-26.337163,153.064385,1.85
-26.335583,153.064134,1.72
-26.334003,153.064383,1.57
-26.332197,153.063881,1.94
-26.330165,153.064381,1.95
-26.328585,153.064380,2.57
-26.328359,153.064380,2.70
-26.326102,153.064379,2.62
-26.324748,153.063376,2.68
-26.322716,153.064377,2.72
-26.320910,153.064376,2.79
-26.320233,153.063374,2.87
-26.317073,153.063622,2.88
-26.315493,153.063622,2.95
-26.315041,153.063621,2.92
-26.313687,153.063871,2.97
-26.311881,153.063870,3.05
-26.308946,153.064119,2.76
-26.307817,153.064369,2.94
-26.306237,153.064368,3.09
-26.305109,153.064367,2.99
-26.303754,153.064367,2.15
-26.302174,153.064366,1.62
-26.299465,153.064364,0.73
-26.297885,153.064363,0.65
-26.296756,153.064363,0.53
-26.294950,153.064362,0.78
-26.293822,153.064361,0.07
-26.396757,153.064669,0.94
-26.396531,153.064669,1.55
-26.394499,153.066171,2.15
-26.351158,153.065896,0.22
-26.349804,153.066146,0.47
-26.347998,153.066145,1.56
-26.347772,153.066145,1.59
-26.344837,153.066143,2.14
-26.343031,153.066142,3.37
-26.341451,153.066141,4.03
-26.339871,153.066140,4.77
-26.338291,153.066139,5.49
-26.336711,153.066138,6.06
-26.335131,153.066138,6.82
-26.333325,153.066137,7.01
-26.333099,153.066136,7.04
-26.330842,153.066135,6.97
-26.328359,153.066134,7.40
-26.326778,153.066133,7.79
-26.325198,153.066132,7.74
-26.324973,153.066132,7.83
-26.322264,153.066130,7.63
-26.321587,153.066130,7.67
-26.320006,153.066129,7.93
-26.318201,153.066128,7.63
-26.315943,153.066127,7.75
-26.314363,153.066126,7.60
-26.313460,153.066125,7.29
-26.311654,153.066124,7.16
-26.310074,153.066123,6.30
-26.308720,153.066123,6.02
-26.307139,153.066122,5.56
-26.305559,153.066121,5.44
-26.303979,153.066120,4.49
-26.302173,153.066119,3.89
-26.300593,153.066118,3.19
-26.298336,153.065115,3.21
-26.296079,153.065615,3.00
-26.294273,153.065864,2.88
-26.292692,153.065863,3.15
-26.291112,153.066113,3.38
-26.290886,153.066112,3.13
-26.289306,153.066112,2.00
-26.287500,153.065860,1.03
-26.284566,153.065858,0.51
-26.284114,153.066109,0.68
-26.282308,153.066108,0.46
-26.280277,153.066106,-0.56
-26.395176,153.066422,0.78
-26.394499,153.067174,2.21
-26.392693,153.066922,-1.13
-26.362895,153.067907,1.71
-26.361315,153.067906,1.29
-26.359735,153.067404,2.34
-26.358381,153.066902,2.14
-26.356801,153.067904,0.44
-26.354543,153.067903,1.22
-26.352963,153.067902,2.62
-26.351157,153.067901,3.95
-26.349577,153.067900,4.71
-26.348223,153.067899,5.57
-26.346642,153.067898,6.46
-26.345739,153.067897,6.61
-26.343482,153.067896,7.46
-26.341451,153.067895,8.10
-26.339870,153.067894,8.33
-26.338742,153.067893,9.00
-26.336710,153.067892,9.40
-26.336033,153.067892,9.76
-26.333324,153.067890,9.88
-26.333098,153.067890,9.95
-26.330389,153.067888,10.09
-26.329261,153.067888,10.47
-26.328132,153.067887,10.58
-26.326552,153.067886,10.40
-26.324069,153.067885,10.50
-26.322714,153.067884,10.78
-26.320683,153.067883,10.40
-26.320006,153.067882,10.59
-26.317297,153.067881,10.50
-26.315717,153.067880,10.41
-26.315265,153.067880,10.37
-26.313685,153.067879,10.17
-26.311879,153.067878,9.77
-26.310299,153.067877,9.81
-26.307364,153.067875,9.63
-26.306913,153.067875,9.63
-26.305107,153.067874,9.14
-26.303075,153.067873,8.94
-26.300818,153.067871,8.42
-26.300592,153.067871,8.57
-26.299012,153.067870,7.79
-26.297206,153.067869,7.93
-26.295626,153.067868,6.82
-26.293820,153.067867,6.15
-26.292466,153.067866,5.86
-26.290886,153.067865,4.46
-26.289305,153.067865,3.93
-26.286597,153.066861,3.57
-26.284565,153.067111,3.51
-26.283436,153.067360,3.59
-26.281630,153.067610,3.22
-26.279599,153.067859,3.73
-26.279373,153.067859,3.20
-26.277793,153.067858,1.65
-26.276213,153.067857,0.98
-26.274407,153.067605,0.40
-26.272149,153.067855,0.13
-26.271472,153.067604,-0.75
-26.397658,153.068930,-0.77
-26.395175,153.068428,1.24
-26.394047,153.068176,1.88
-26.393369,153.068928,0.60
-26.390661,153.068174,-1.13
-26.389757,153.069427,-1.13
-26.365829,153.069413,1.95
-26.365603,153.069663,1.89
-26.363121,153.068409,1.95
-26.361315,153.068408,2.39
-26.359283,153.069659,2.42
-26.357703,153.069658,3.92
-26.356122,153.069657,5.44
-26.354542,153.069656,6.37
-26.352962,153.069656,7.04
-26.351156,153.069654,7.71
-26.350253,153.069654,8.15
-26.347996,153.069653,8.38
-26.346416,153.069652,8.94
-26.344836,153.069651,9.47
-26.343030,153.069650,9.98
-26.341450,153.069649,10.31
-26.339870,153.069648,10.61
-26.338289,153.069647,11.06
-26.336709,153.069646,11.38
-26.334903,153.069645,11.65
-26.333323,153.069644,11.87
-26.331743,153.069643,12.16
-26.330389,153.069642,12.32
-26.328583,153.069641,12.45
-26.326777,153.069640,12.51
-26.326100,153.069639,12.65
-26.324519,153.069639,12.73
-26.322036,153.069637,12.72
-26.320682,153.069636,12.81
-26.319102,153.069635,12.85
-26.318199,153.069635,12.85
-26.316844,153.069634,12.69
-26.315264,153.069633,12.59
-26.313684,153.069632,12.48
-26.310975,153.069630,12.20
-26.310072,153.069630,12.07
-26.308492,153.069629,11.81
-26.306009,153.069627,11.73
-26.304880,153.069627,11.42
-26.303075,153.069626,11.59
-26.300817,153.069624,11.21
-26.300366,153.069624,11.27
-26.299011,153.069623,10.76
-26.296980,153.069622,10.62
-26.295625,153.069621,10.30
-26.293594,153.069620,9.78
-26.291110,153.069619,9.31
-26.290885,153.069618,9.42
-26.289305,153.069617,9.05
-26.287724,153.069617,8.58
-26.285467,153.069615,8.50
-26.284338,153.069614,7.22
-26.282758,153.069614,6.19
-26.280952,153.069612,5.97
-26.279372,153.069612,4.55
-26.277793,153.068359,3.93
-26.275761,153.068608,3.72
-26.274180,153.068857,3.69
-26.273052,153.069107,3.35
-26.270117,153.069606,3.91
-26.269440,153.069606,3.09
-26.268085,153.069605,1.81
-26.266054,153.069604,1.17
-26.264022,153.069602,0.81
-26.262442,153.069601,0.59
-26.261313,153.069601,-1.12
-26.417973,153.071199,-1.08
-26.417747,153.071449,-1.14
-26.411652,153.070944,-1.09
-26.410072,153.070943,-1.14
-26.403300,153.071691,-1.12
-26.402849,153.071189,-1.11
-26.398786,153.070936,-1.08
-26.396754,153.071186,-0.96
-26.395174,153.069931,0.95
-26.394496,153.071435,2.37
-26.393368,153.070181,0.73
