lat,lng,depth
-26.986919,153.054296,-2.18
-26.986922,153.052050,-1.94
-26.986921,153.052534,-1.88
-26.986925,153.052800,-1.71
-26.986920,153.053042,-1.71
-26.986919,153.053541,-1.80
-26.986695,153.054306,-2.19
-26.986467,153.054302,-2.16
-26.986247,153.054304,-2.08
-26.986016,153.054297,-2.07
-26.986016,153.054050,-1.88
-26.985793,153.054043,-1.95
-26.985566,153.054549,-2.24
-26.985567,153.054091,-1.88
-26.985340,153.054549,-2.09
-26.985340,153.054297,-2.05
-26.985339,153.054075,-1.96
-26.985114,153.054548,-2.24
-26.985116,153.054298,-2.23
-26.982407,153.055319,-2.18
-26.982408,153.051041,-1.87
-26.982409,153.051271,-1.93
-26.982409,153.051539,-1.93
-26.982518,153.052034,-0.82
-26.982571,153.052525,-0.72
-26.982635,153.051020,-1.86
-26.982631,153.051288,-1.94
-26.982635,153.051552,-1.94
-26.982631,153.052049,-0.84
-26.982636,153.051789,-1.94
-26.982687,153.052527,-1.76
-26.982861,153.051273,-1.90
-26.982862,153.051029,-1.89
-26.982861,153.051524,-1.91
-26.982859,153.051786,-1.91
-26.982856,153.052140,-0.89
-26.982905,153.052508,-1.71
-26.983085,153.051279,-1.87
-26.983084,153.051020,-1.89
-26.983084,153.051523,-1.85
-26.983085,153.051774,-1.81
-26.983310,153.051277,-1.72
-26.983309,153.051553,-1.70
-26.983310,153.051022,-1.85
-26.983311,153.052536,-1.85
-26.983534,153.051732,-1.16
-26.983535,153.051776,-1.13
-26.983537,153.052029,-1.04
-26.983540,153.052431,-1.78
-26.983534,153.052573,-1.86
-26.983533,153.052791,-1.94
-26.983760,153.051400,-1.16
-26.983760,153.051633,-1.16
-26.983760,153.051847,-1.19
-26.983759,153.052069,-1.15
-26.983759,153.052788,-1.92
-26.983985,153.051431,-1.14
-26.983985,153.051643,-1.18
-26.983985,153.051860,-1.21
-26.983985,153.052076,-1.04
-26.983989,153.052786,-1.94
-26.983988,153.053042,-1.97
-26.984211,153.051460,-1.10
-26.984211,153.051746,-1.13
-26.984212,153.051776,-1.13
-26.984211,153.052038,-0.89
-26.984214,153.052792,-1.95
-26.984214,153.053036,-1.96
-26.984437,153.051563,-1.06
-26.984438,153.051521,-1.04
-26.984437,153.051900,-1.03
-26.984441,153.052134,-0.76
-26.984436,153.052445,-1.88
-26.984440,153.052538,-1.90
-26.984437,153.052794,-1.94
-26.984438,153.053053,-1.94
-26.984438,153.053296,-1.98
-26.984662,153.051561,-1.03
-26.984664,153.051522,-1.03
-26.984662,153.051875,-0.93
-26.984667,153.052086,-0.67
-26.984667,153.052385,-1.84
-26.984664,153.052554,-1.87
-26.984667,153.052794,-1.93
-26.984665,153.053037,-1.93
-26.984662,153.053290,-1.93
-26.984663,153.053576,-1.96
-26.984663,153.053792,-2.23
-26.984889,153.051544,-1.00
-26.984888,153.051789,-0.83
-26.984891,153.052328,-1.79
-26.984891,153.052533,-1.83
-26.984921,153.052267,-1.80
-26.984888,153.052789,-1.85
-26.984889,153.053064,-1.87
-26.984888,153.053300,-1.90
-26.984890,153.053548,-1.91
-26.984888,153.053800,-1.94
-26.985120,153.052202,-1.53
-26.985113,153.052539,-1.79
-26.985117,153.052362,-1.77
-26.985114,153.052795,-1.79
-26.985114,153.053042,-1.78
-26.985209,153.051995,-1.83
-26.985115,153.053298,-1.83
-26.985113,153.053543,-1.90
-26.985115,153.053791,-1.92
-26.985268,153.051767,-1.85
-26.985321,153.051291,-1.70
-26.985344,153.051795,-1.83
-26.985343,153.052553,-1.79
-26.985344,153.052786,-1.69
-26.985344,153.053045,-1.66
-26.985340,153.053287,-1.79
-26.985340,153.053539,-1.85
-26.985340,153.053796,-1.90
-26.985569,153.051525,-1.98
-26.985568,153.051798,-1.88
-26.985567,153.052048,-1.84
-26.985585,153.052526,-1.86
-26.985567,153.052538,-1.78
-26.985567,153.052796,-1.74
-26.985570,153.053073,-1.71
-26.985567,153.053289,-1.76
-26.985565,153.053558,-1.80
-26.985566,153.053791,-1.85
-26.985794,153.051777,-1.87
-26.985795,153.052032,-1.72
-26.985792,153.051538,-1.98
-26.985793,153.052557,-1.49
-26.985793,153.052281,-1.72
-26.985791,153.052893,-1.46
-26.985793,153.053044,-1.71
-26.985791,153.053296,-1.71
-26.985794,153.053544,-1.71
-26.985791,153.053803,-1.82
-26.986017,153.051780,-1.87
-26.986022,153.051533,-1.98
-26.986017,153.052036,-1.71
-26.986016,153.052313,-1.83
-26.986040,153.052646,-1.84
-26.986023,153.053038,-1.79
-26.986017,153.053303,-1.70
-26.986018,153.053540,-1.55
-26.986021,153.052864,-1.79
-26.986016,153.053809,-1.73
-26.986243,153.051778,-1.98
-26.986245,153.052061,-1.91
-26.986245,153.052283,-1.88
-26.986243,153.052534,-1.85
-26.986246,153.052789,-1.78
-26.986244,153.051529,-1.98
-26.986246,153.053102,-1.76
-26.986246,153.053295,-1.65
-26.986242,153.053579,-1.46
-26.986245,153.053802,-1.76
-26.986244,153.054069,-1.98
-26.986468,153.051532,-1.98
-26.986472,153.051778,-1.97
-26.986474,153.052047,-1.96
-26.986472,153.052290,-1.90
-26.986471,153.052532,-1.77
-26.986468,153.052787,-1.67
-26.986472,153.053039,-1.61
-26.986469,153.053295,-1.49
-26.986473,153.053621,-1.52
-26.986467,153.053864,-1.88
-26.986468,153.054046,-2.03
-26.986696,153.051778,-2.01
-26.986697,153.051543,-2.13
-26.986694,153.052034,-1.90
-26.986696,153.052293,-1.88
-26.986695,153.052543,-1.79
-26.986698,153.052785,-1.58
-26.986696,153.053037,-1.47
-26.986701,153.053311,-1.45
-26.986696,153.053543,-1.69
-26.986694,153.053794,-1.92
-26.986697,153.054048,-2.08
-26.986922,153.052284,-1.89
-26.986929,153.053297,-1.69
-26.986924,153.053799,-1.93
-26.986919,153.054057,-2.11
-26.986922,153.050770,-2.23
-26.986922,153.050517,-2.14
-26.986921,153.050420,-1.94
-26.986694,153.051289,-2.06
-26.986698,153.051025,-2.08
-26.986695,153.050778,-2.04
-26.986697,153.050557,-1.95
-26.986695,153.050393,-1.80
-26.986472,153.051272,-1.99
-26.986470,153.051023,-1.99
-26.986472,153.050768,-1.93
-26.986470,153.050517,-1.90
