lat,lng,depth
-26.378781,153.110146,-1.54
-26.379232,153.110900,-1.44
-26.379234,153.110765,-2.19
-26.379006,153.110396,-1.20
-26.379009,153.110677,-0.84
-26.379135,153.112148,-1.24
-26.379234,153.111179,-0.99
-26.378786,153.113153,-2.16
-26.378333,153.113401,-1.74
-26.378108,153.113402,-1.64
-26.377540,153.114653,-2.15
-26.377539,153.114154,-1.96
-26.382164,153.116437,-1.04
-26.381938,153.116431,-1.69
-26.381036,153.116680,-1.85
-26.381032,153.117170,-0.90
-26.380809,153.116665,-2.10
-26.380806,153.117166,-0.93
-26.380132,153.117415,-1.42
-26.379453,153.118896,-1.04
-26.379905,153.119189,-1.02
-26.379679,153.119021,-0.78
-26.379856,153.119672,-1.49
-26.379676,153.119332,-0.89
-26.379679,153.119427,-1.87
-26.379453,153.118939,-1.13
-26.379227,153.119937,-1.91
-26.378099,153.118417,-1.04
-26.378325,153.118641,-2.19
-26.378098,153.118165,-2.24
-26.377649,153.117694,-1.97
-26.377874,153.117925,-2.19
-26.378546,153.119220,-1.72
-26.378775,153.119679,-0.82
-26.376973,153.115650,-1.88
-26.376748,153.115654,-2.21
-26.376441,153.116159,-0.70
-26.377423,153.117443,-1.92
-26.376747,153.116411,-1.18
-26.421828,153.110313,-1.24
-26.421905,153.110312,-1.10
-26.419641,153.110193,-1.83
-26.419867,153.110193,-1.18
-26.420093,153.110201,-0.89
-26.420318,153.110211,-0.87
-26.420544,153.110185,-0.85
-26.419870,153.110792,-1.17
-26.419873,153.110677,-2.08
-26.420095,153.110762,-0.92
-26.420105,153.110678,-1.75
-26.418286,153.110471,-2.24
-26.418512,153.110459,-1.75
-26.419415,153.110475,-1.05
-26.419189,153.110435,-0.94
-26.418962,153.110435,-1.01
-26.418737,153.110436,-1.33
-26.409142,153.112694,-0.94
-26.409030,153.112682,-1.19
-26.408804,153.112682,-1.50
-26.408578,153.112716,-1.91
-26.408127,153.112943,-1.22
-26.407899,153.112933,-1.38
-26.407673,153.112932,-1.99
-26.407224,153.112968,-2.19
-26.406998,153.112931,-2.00
-26.406772,153.112968,-1.98
-26.406546,153.112930,-2.11
-26.406049,153.113180,-1.03
-26.405869,153.113215,-1.35
-26.405641,153.113180,-1.78
-26.405192,153.113438,-1.11
-26.404966,153.113456,-1.39
-26.404739,153.113429,-1.68
-26.404512,153.113429,-1.97
-26.403835,153.113681,-1.04
-26.403611,153.113679,-1.48
-26.403383,153.113678,-1.85
-26.403159,153.113679,-2.15
-26.402770,153.113928,-0.73
-26.402708,153.113939,-0.77
-26.402482,153.113931,-0.79
-26.402257,153.113930,-1.07
-26.402031,153.113942,-1.33
-26.401805,153.113944,-1.76
-26.401579,153.113928,-2.09
-26.401434,153.114178,-0.88
-26.401353,153.114180,-0.98
-26.401127,153.114178,-1.29
-26.400901,153.114179,-1.80
-26.400686,153.114428,-0.75
-26.400674,153.114428,-0.85
-26.400450,153.114428,-0.95
-26.400223,153.114429,-1.00
-26.454408,153.102947,-1.18
-26.454409,153.103205,-1.07
-26.454183,153.103280,-1.04
-26.453958,153.103260,-1.01
-26.452603,153.103274,-1.57
-26.452829,153.103461,-0.83
-26.452829,153.103251,-1.13
-26.453731,153.103198,-0.84
-26.453506,153.103202,-0.97
-26.453280,153.103256,-1.02
-26.452377,153.103218,-2.01
-26.452152,153.103213,-1.98
-26.452152,153.103717,-1.00
-26.451925,153.103726,-1.07
-26.451474,153.103455,-1.63
-26.450345,153.103695,-1.26
-26.450219,153.104225,-0.99
-26.451249,153.103525,-1.76
-26.451226,153.103950,-0.89
-26.451023,153.103463,-1.89
-26.451021,153.103947,-1.20
-26.450797,153.103495,-2.16
-26.450797,153.103954,-1.50
-26.450120,153.103722,-1.79
-26.450116,153.104226,-1.08
-26.451287,153.103946,-0.83
-26.449668,153.104004,-1.08
-26.449667,153.104208,-1.15
-26.449442,153.103974,-1.48
-26.449216,153.103943,-2.10
-26.447862,153.104193,-1.62
-26.448088,153.104222,-1.37
-26.448314,153.104195,-1.30
-26.448539,153.104210,-1.13
-26.448765,153.104208,-0.98
-26.448990,153.104199,-0.81
-26.447822,153.104707,-1.15
-26.447866,153.104784,-0.78
-26.447867,153.104689,-1.81
-26.447636,153.104193,-1.88
-26.447636,153.104741,-1.47
-26.447410,153.104740,-1.60
-26.445390,153.104945,-0.71
-26.445604,153.104732,-2.20
-26.445830,153.104775,-1.68
-26.446056,153.104707,-1.30
-26.446282,153.104729,-1.03
-26.446506,153.104702,-0.85
-26.445376,153.104947,-0.77
-26.371515,153.073302,-0.61
-26.371585,153.073345,-0.96
-26.373050,153.071297,-2.21
-26.373051,153.072048,-2.11
-26.373049,153.072314,-2.19
-26.372713,153.071803,-2.22
-26.372036,153.071559,-2.09
-26.371129,153.072801,-1.43
-26.371130,153.073052,-0.70
-26.370906,153.072550,-1.90
-26.370906,153.072806,-0.81
-26.370679,153.072549,-1.19
-26.370454,153.072308,-2.13
-26.370455,153.072551,-0.80
-26.370228,153.072300,-1.28
-26.370001,153.072298,-0.80
-26.369778,153.072057,-1.67
-26.369776,153.072298,-0.77
-26.369550,153.072046,-0.80
-26.369324,153.071797,-2.09
-26.369326,153.072063,-0.85
-26.369101,153.071816,-1.30
-26.369101,153.072048,-0.82
-26.368875,153.071551,-2.16
-26.368875,153.071797,-0.89
-26.368647,153.071544,-1.23
-26.368424,153.071319,-2.19
-26.368424,153.071551,-0.83
-26.368198,153.071310,-1.29
-26.367972,153.071307,-0.87
-26.367746,153.071043,-1.62
-26.367521,153.071066,-1.01
-26.367295,153.070813,-1.57
-26.367294,153.071043,-0.70
-26.367068,153.070793,-0.99
-26.366844,153.070550,-2.15
-26.366844,153.070806,-0.71
-26.366619,153.070565,-1.42
-26.366393,153.070567,-0.92
-26.366167,153.070320,-1.86
-26.366167,153.070565,-0.74
-26.365941,153.070296,-1.15
-26.365166,153.070164,-0.74
-26.382390,153.116166,-1.69
-26.382616,153.116179,-1.34
-26.383068,153.115943,-1.75
-26.383293,153.115916,-1.37
-26.383519,153.115939,-1.17
-26.386905,153.115418,-2.18
-26.386679,153.115418,-2.14
-26.386454,153.115448,-2.03
-26.386228,153.115455,-1.92
-26.386002,153.115417,-1.96
-26.385777,153.115429,-2.13
-26.388260,153.115422,-2.19
-26.388484,153.115419,-2.10
-26.386454,153.115691,-1.16
-26.386226,153.115668,-1.09
-26.386001,153.115668,-1.05
-26.385776,153.115666,-1.02
-26.385551,153.115703,-1.01
-26.385325,153.115703,-0.99
-26.385099,153.115675,-1.04
-26.384874,153.115704,-1.19
-26.384648,153.115693,-1.36
-26.384422,153.115672,-1.54
-26.384196,153.115681,-1.78
-26.386680,153.115709,-1.31
-26.386905,153.115670,-1.38
-26.387131,153.115683,-1.42
-26.387357,153.115700,-1.36
-26.387583,153.115703,-1.27
-26.387808,153.115669,-1.18
-26.388034,153.115671,-1.12
-26.388260,153.115706,-1.07
-26.388485,153.115669,-1.03
-26.388709,153.115670,-1.01
-26.388937,153.115682,-1.08
-26.389162,153.115669,-1.40
-26.389388,153.115699,-1.61
-26.386904,153.115919,-0.89
-26.385548,153.116170,-1.19
-26.385324,153.116170,-1.24
-26.390968,153.119429,-1.89
-26.390896,153.118899,-1.87
-26.390747,153.118253,-2.00
-26.390710,153.118187,-2.20
-26.390289,153.117430,-1.09
-26.390062,153.117425,-1.48
-26.389839,153.117441,-0.82
-26.390062,153.116924,-1.72
-26.390064,153.116673,-1.20
-26.390065,153.116437,-1.18
-26.390065,153.116224,-2.05
-26.389840,153.116186,-0.96
-26.389840,153.115924,-1.44
-26.389614,153.115926,-0.87
-26.389614,153.115685,-2.21
-26.391110,153.072435,-1.05
-26.391110,153.072733,-1.20
-26.391110,153.072920,-1.27
-26.391110,153.073066,-1.37
-26.391109,153.073359,-1.29
-26.391111,153.070774,-1.59
-26.390997,153.072523,-1.10
-26.390997,153.072568,-1.22
-26.391109,153.073564,-1.26
-26.390997,153.072815,-1.26
-26.391109,153.073815,-1.42
-26.390997,153.073062,-1.33
-26.390995,153.073313,-1.33
-26.390995,153.073565,-1.28
-26.390996,153.073816,-1.36
-26.390771,153.072474,-1.19
-26.390771,153.072572,-1.27
-26.390771,153.072816,-1.30
-26.390770,153.073064,-1.24
-26.390771,153.073349,-1.31
-26.390771,153.073587,-1.36
-26.390770,153.073825,-1.32
-26.390545,153.072545,-1.23
-26.390546,153.072593,-1.32
-26.390545,153.072830,-1.36
-26.390545,153.073070,-1.32
-26.390544,153.073314,-1.29
-26.390545,153.073565,-1.28
-26.390320,153.072602,-1.38
-26.390320,153.072841,-1.45
-26.390320,153.073080,-1.46
-26.390319,153.073315,-1.44
-26.390319,153.073564,-1.36
-26.390094,153.072701,-1.50
-26.390094,153.072840,-1.48
-26.390094,153.073077,-1.46
-26.390093,153.073314,-1.42
-26.390093,153.073564,-1.30
-26.389868,153.072749,-1.51
-26.389868,153.072842,-1.47
-26.389868,153.073081,-1.44
-26.389868,153.073321,-1.34
-26.389866,153.073816,-0.96
-26.389642,153.072830,-1.45
-26.389639,153.072809,-1.47
-26.389642,153.073090,-1.37
-26.389642,153.073351,-1.23
-26.389417,153.072870,-1.47
-26.389641,153.074577,-1.08
-26.389416,153.073078,-1.31
-26.389416,153.073337,-1.10
-26.389191,153.072908,-1.66
-26.389415,153.074586,-1.05
-26.389190,153.073061,-1.42
-26.389416,153.074827,-0.93
-26.389190,153.073312,-1.14
-26.389189,153.074314,-0.99
-26.388965,153.072964,-1.52
-26.388964,153.073062,-1.55
-26.389190,153.074588,-0.95
-26.389188,153.074818,-0.88
-26.388965,153.074064,-0.90
-26.388964,153.074331,-0.87
