lat,lng,depth
-26.378781,153.110146,-1.54
-26.379007,153.110197,-2.93
-26.379078,153.110247,-4.49
-26.379232,153.1109,-1.44
-26.379234,153.110765,-2.19
-26.379438,153.111144,-4.07
-26.379334,153.110845,-5.27
-26.378649,153.110418,-0.71
-26.379188,153.110646,-3.19
-26.379006,153.110396,-1.2
-26.379009,153.110677,-0.84
-26.379006,153.110922,-0.8
-26.379031,153.112401,-1.61
-26.379135,153.112148,-1.24
-26.379236,153.1124,-3.94
-26.379234,153.112149,-3.76
-26.379178,153.1119,-0.88
-26.379235,153.111899,-2.15
-26.37918,153.111649,-0.88
-26.379234,153.111647,-2.32
-26.379234,153.111179,-0.99
-26.379446,153.111157,-2.76
-26.379462,153.111935,-3.27
-26.379463,153.111898,-4.95
-26.379461,153.111648,-4.95
-26.379505,153.111397,-5.46
-26.37901,153.113149,-4.35
-26.379007,153.112901,-3.44
-26.379233,153.112649,-4.89
-26.37901,153.11265,-2.19
-26.379233,153.112728,-5.98
-26.378555,153.113397,-3.26
-26.378556,153.113141,-0.99
-26.378782,153.113396,-4.43
-26.378786,153.113153,-2.16
-26.378791,153.112901,-1.49
-26.378871,153.112635,-0.96
-26.379007,153.113272,-5.69
-26.379003,153.112367,-0.59
-26.378382,153.113151,-0.87
-26.378333,153.113401,-1.74
-26.378557,153.11342,-6.02
-26.37833,153.113512,-5.11
-26.378108,153.113402,-1.64
-26.378104,153.113635,-3.83
-26.377903,153.113402,-0.9
-26.377878,153.113647,-1.8
-26.377759,153.113653,-1.01
-26.377878,153.114063,-4.43
-26.377879,153.113903,-3.33
-26.377538,153.115134,-2.79
-26.377538,153.114897,-2.01
-26.37754,153.114653,-2.15
-26.377539,153.114395,-3.12
-26.377539,153.114154,-1.96
-26.377652,153.114499,-5.94
-26.377652,153.114395,-5.14
-26.377652,153.114148,-3.2
-26.377634,153.113903,-0.75
-26.377697,153.113901,-1.21
-26.377538,153.115275,-4.18
-26.378544,153.110273,-0.76
-26.377328,153.115153,-0.96
-26.377383,153.114905,-0.86
-26.377321,153.114095,-0.88
-26.377345,153.114154,-0.83
-26.377364,153.114599,-0.89
-26.377275,153.115281,-1.25
-26.382165,153.11617,-2.45
-26.382165,153.115952,-3.52
-26.382165,153.115857,-5.94
-26.381713,153.116107,-5.76
-26.381712,153.116164,-3.13
-26.381939,153.116187,-2.67
